Name of Food Stuff,Energy,Moisture,Protein,Fat,Minerals,Fibre,Carbos,Calcium,Phosphorous,Iron
,(Kcals),(g),(g),(g),(g),(g),(g),(mg),(mg),(mg)
,,,,,,,,,,
common foods,,,,,,,,,,
,,,,,,,,,,
*Nutritive value / 100 gms of raw ingredients,,,,,,,,,,
JAGGERY (date palm),353,10,1,0,3,-,86,363,62,-
JAGGERY (fan palm),359,9,1,0,2,-,98,225,44,-
JAGGERY (sago palm),349,9,2,0,4,-,85,1252,372,-
SAGO,351,12,0,0,0,-,87,10,10,1
SUGAR CANE JUICE,39,90,0,0,0,-,9,10,10,0
,,,,,,,,,,
Fatty Acids ,,,,,,,,,,
,,,,,,,,,,
COCONUT OIL,0,2,-,-,-,88,-,8,1,-
CORN OIL,11,2,-,-,-,13,-,25,58,-
COTTON SEED OIL,24,1,1,-,0,26,-,23,48,-
GROUNDNUT OIL,13,2,4,2,0,21,1,48,30,-
MUSTARD or RAPESEED OIL,3,1,7,-,-,11,1,9,18,14
OLIVE OIL,11,2,-,-,-,14,-,71,8,-
PALM OIL,42,4,-,-,-,48,-,38,9,-
PALMOLEIN,42,3,-,-,-,48,0,41,10,0
RICE BRAN OIL,16,2,-,-,-,19,-,39,33,-
SAFLOWER OIL,8,2,1,-,-,11,-,18,78,-
SESAME OIL,10,3,-,-,-,13,0,41,44,-
SOYABEAN OIL,10,2,1,-,-,13,-,29,51,6
SUNFLOWER OIL,6,2,1,-,0,9,-,25,66,-
BUTTER,21,10,-,-,-,50,-,20,2,-
,,,,,,,,,,
Basic Preparations,,,,,,,,,,
,,,,,,,,,,
,Ingredients,Qty,Kcal,Gms,Gms,Gms,Gms,,,
Chapati ,"Wheat flour,  Oil 1 tsp., Salt and Water",1 no.,147,21,3.6,5.5,1,,,
Phulkas,"Wheat flour, Salt and Water",1 no.,51,10,1.8,0.3,0.5,,,
Puri,"Wheat flour,  Oil 1 tsp., Salt and Water",1 no.,69,5,0.8,5.1,0,,,
Plain paratha,"Wheat flour,   and Water",1 no.,141,10,1.8,10.25,0.5,,,
Stuffed paratha,"Wheat flour, Potato, Oil 1 tsp. and Salt",1 no.,175,21,2.4,10.25,0.5,,,
Bajra bhakri,"Bajra flour, ",1 no.,108,20,3.5,1.5,0,,,
Jowar bhakri,"Jowar flour, Salt and Water",1 no.,105,22,3.1,0.6,0,,,
Khakhra,"Wheat flour, Salt and Water",1 no.,51,10,1.8,0.3,0.5,,,
Potato bhaji,"Potatoes, Oil 1 tsp. and Salt",1 katori,179,31,2.2,5.1,1,,,
Potato wafers,"Potato, Oil, 1-1/2 tsp.s",1 katori,106,10,0.6,8,0,,,
Potato tikki (shallow fried),"Potato, Chilli paste, Oil 1/2 tsp., Salt",1 no.,23,3.4,0.2,2.5,0,,,
Potato tikki (deep fried),"Potato, Chilli paste, Oil 1 tsp., Salt",1 no.,60,3.4,0.2,5,0,,,
Cooked rice,"Rice, Salt, Water",1 katori,104,23,2,0.2,0,,,
Khichadi,"Rice, Moong dal",1 katori,104,20,4.7,0.3,0,,,
Plain dal,"Toovar dal, Salt, Water",1 Katori,101,17,6.7,0.5,0,,,
Dal with vaghar,"Toovar dal, Oil 1tsp., Salt, Water",1 Katori,146,17,6.7,5.5,0,,,
Mung ki dal,"Mung dal, Salt, Water",1 Katori,104,18,7.4,0.2,0,,,
